id,lat,lon,name,street_no,street_name,street_type,suburb,postcode,sport,type,field_surface,lga,address
"MONASH11994",-37.902519,145.170838,"Brentwood Reserve",11-31,"Maylands","Cresent","GLEN WAVERLEY","3150","Cricket","outdoor","Synthetic Pitch","MONASH","11-31 Maylands Cresent, GLEN WAVERLEY 3150"
"MONASH11994",-37.902519,145.170838,"Brentwood Reserve",11-31,"Maylands","Cresent","GLEN WAVERLEY","3150","Football","outdoor","Grass","MONASH","11-31 Maylands Cresent, GLEN WAVERLEY 3150"
"MONASH11994",-37.902519,145.170838,"Brentwood Reserve",11-31,"Maylands","Cresent","GLEN WAVERLEY","3150","Playground","outdoor",,"MONASH","11-31 Maylands Cresent, GLEN WAVERLEY 3150"
"MORELA13001",-37.756104,144.977669,"Campbell Reserve",11-49,"Moreland","Road","COBURG","3058","Cricket","outdoor","Turf Pitch","MORELAND","11-49 Moreland Road, COBURG 3058"
"MORELA13001",-37.756104,144.977669,"Campbell Reserve",11-49,"Moreland","Road","COBURG","3058","Playground","outdoor",,"MORELAND","11-49 Moreland Road, COBURG 3058"
"MORELA13001",-37.756104,144.977669,"Campbell Reserve",11-49,"Moreland","Road","COBURG","3058","Soccer","outdoor","Grass","MORELAND","11-49 Moreland Road, COBURG 3058"
"HUMECI11791",-37.672131,144.906325,"Westmeadows Heights Reserve",116-138,"Erinbank","Crescent","WESTMEADOWS","3049","Cricket","outdoor","Synthetic Pitch","HUME","116-138 Erinbank Crescent, WESTMEADOWS 3049"
"HUMECI11791",-37.672131,144.906325,"Westmeadows Heights Reserve",116-138,"Erinbank","Crescent","WESTMEADOWS","3049","Soccer","outdoor","Grass","HUME","116-138 Erinbank Crescent, WESTMEADOWS 3049"
"HUMECI11744",-37.59906,144.934474,"Craigieburn Leisure Centre",127-147,"Craigieburn","Road","CRAIGIEBURN","3064","Badminton","indoor","NA","HUME","127-147 Craigieburn Road, CRAIGIEBURN 3064"
"HUMECI11744",-37.59906,144.934474,"Craigieburn Leisure Centre",127-147,"Craigieburn","Road","CRAIGIEBURN","3064","Basketball","indoor","Wooden Gymnasium","HUME","127-147 Craigieburn Road, CRAIGIEBURN 3064"
"HUMECI11744",-37.59906,144.934474,"Craigieburn Leisure Centre",127-147,"Craigieburn","Road","CRAIGIEBURN","3064","Fitness / Gymnasium Workouts","indoor","NA","HUME","127-147 Craigieburn Road, CRAIGIEBURN 3064"
"HUMECI11744",-37.59906,144.934474,"Craigieburn Leisure Centre",127-147,"Craigieburn","Road","CRAIGIEBURN","3064","Martial Arts","indoor","NA","HUME","127-147 Craigieburn Road, CRAIGIEBURN 3064"
"HUMECI11744",-37.59906,144.934474,"Craigieburn Leisure Centre",127-147,"Craigieburn","Road","CRAIGIEBURN","3064","Martial Arts","indoor","NA","HUME","127-147 Craigieburn Road, CRAIGIEBURN 3064"
"HUMECI11744",-37.59906,144.934474,"Craigieburn Leisure Centre",127-147,"Craigieburn","Road","CRAIGIEBURN","3064","Netball","indoor","Wooden Gymnasium","HUME","127-147 Craigieburn Road, CRAIGIEBURN 3064"
"HUMECI11744",-37.59906,144.934474,"Craigieburn Leisure Centre",127-147,"Craigieburn","Road","CRAIGIEBURN","3064","Squash / Racquetball","indoor","NA","HUME","127-147 Craigieburn Road, CRAIGIEBURN 3064"
"HUMECI11744",-37.59906,144.934474,"Craigieburn Leisure Centre",127-147,"Craigieburn","Road","CRAIGIEBURN","3064","Swimming","indoor","25m Pool - Indoor, Spa/Sauna","HUME","127-147 Craigieburn Road, CRAIGIEBURN 3064"
"WYNDHA8492",-37.880556,144.735336,"Point Cook Skatepark",13-19,"Boardwalk","Boulevard","POINT COOK","3030","BMX","outdoor","Concrete","WYNDHAM","13-19 Boardwalk Boulevard, POINT COOK 3030"
"WYNDHA8492",-37.880556,144.735336,"Point Cook Skatepark",13-19,"Boardwalk","Boulevard","POINT COOK","3030","Skating","outdoor","Concrete","WYNDHAM","13-19 Boardwalk Boulevard, POINT COOK 3030"
"HOBSON12946",-37.862071,144.903398,"Commonwealth Reserve",132-140,"Nelson","Place","WILLIAMSTOWN","3016","Tennis","outdoor","Hard Court","HOBSONS BAY","132-140 Nelson Place, WILLIAMSTOWN 3016"
"HUMECI11747",-37.597342,144.933547,"D.S. Aitken Reserve",136-170,"Craigieburn","Road West","CRAIGIEBURN","3064","Cricket","outdoor","Turf Pitch","HUME","136-170 Craigieburn Road West, CRAIGIEBURN 3064"
"HUMECI11747",-37.597342,144.933547,"D.S. Aitken Reserve",136-170,"Craigieburn","Road West","CRAIGIEBURN","3064","Football","outdoor","Grass","HUME","136-170 Craigieburn Road West, CRAIGIEBURN 3064"
"HUMECI11747",-37.597342,144.933547,"D.S. Aitken Reserve",136-170,"Craigieburn","Road West","CRAIGIEBURN","3064","Tennis","outdoor","Hard Court","HUME","136-170 Craigieburn Road West, CRAIGIEBURN 3064"
"STONNI11939",-37.857252,145.0442,"Harold Holt Swim Centre",1409-1413,"High","Street","GLEN IRIS","3146","Swimming","indoor","25m Pool - Indoor","STONNINGTON","1409-1413 High Street, GLEN IRIS 3146"
"STONNI11939",-37.857252,145.0442,"Harold Holt Swim Centre",1409-1413,"High","Street","GLEN IRIS","3146","Swimming","outdoor","50m Pool - Outdoor, Rehabilitation Pool","STONNINGTON","1409-1413 High Street, GLEN IRIS 3146"
"MANNIN10993",-37.757265,145.1279,"Gracie Jiu-Jitsu Templestowe",143A,"Parker","Street","TEMPLESTOWE","3106","Fitness / Gymnasium Workouts","indoor","NA","MANNINGHAM","143A Parker Street, TEMPLESTOWE 3106"
"MANNIN10993",-37.757265,145.1279,"Gracie Jiu-Jitsu Templestowe",143A,"Parker","Street","TEMPLESTOWE","3106","Martial Arts","indoor","NA","MANNINGHAM","143A Parker Street, TEMPLESTOWE 3106"
"GLENEI11239",-37.872974,145.025128,"Navel Gazers Belly Dance",15/219,"Balaclava","Road","CAULFIELD","3162","Dancing","indoor","NA","GLEN EIRA","15/219 Balaclava Road, CAULFIELD 3162"
"HUMECI11774",-37.655,144.922,"Meadow Heights Community Centre",15-29,"Buchan","Street","MEADOW HEIGHTS","3048","Basketball","indoor","Wooden Gymnasium","HUME","15-29 Buchan Street, MEADOW HEIGHTS 3048"
"GLENEI11228",-37.894582,145.049827,"Lord Reserve",15-49,"Lyons","Street","CARNEGIE","3163","Cricket","outdoor","Synthetic Pitch","GLEN EIRA","15-49 Lyons Street, CARNEGIE 3163"
"GLENEI11228",-37.894582,145.049827,"Lord Reserve",15-49,"Lyons","Street","CARNEGIE","3163","Cricket","outdoor","Turf Pitch","GLEN EIRA","15-49 Lyons Street, CARNEGIE 3163"
"GLENEI11228",-37.894582,145.049827,"Lord Reserve",15-49,"Lyons","Street","CARNEGIE","3163","Soccer","outdoor","Grass","GLEN EIRA","15-49 Lyons Street, CARNEGIE 3163"
"WHITTL9540",-37.67031,145.064733,"Dr Harry Jenkins Park",156-168,"Mill Park","Drive","MILL PARK","3082","Tennis","outdoor","Synthetic","WHITTLESEA","156-168 Mill Park Drive, MILL PARK 3082"
"WHITTL9527",-37.646185,145.058027,"Meadowglen reserve & International Athletics Stadium",156-176,"McDonalds","Road","EPPING","3076","Athletics","outdoor","Synthetic","WHITTLESEA","156-176 McDonalds Road, EPPING 3076"
"WHITTL9527",-37.646185,145.058027,"Meadowglen reserve & International Athletics Stadium",156-176,"McDonalds","Road","EPPING","3076","Cricket","outdoor","Synthetic Pitch","WHITTLESEA","156-176 McDonalds Road, EPPING 3076"
"WHITTL9527",-37.646185,145.058027,"Meadowglen reserve & International Athletics Stadium",156-176,"McDonalds","Road","EPPING","3076","Skating","outdoor","NA","WHITTLESEA","156-176 McDonalds Road, EPPING 3076"
