id,lat,lon,name,street_no,street_name,street_type,suburb,postcode,sport,type,field_surface,lga
GLENEI11217,-37.916884,145.061671,Bailey Reserve,200,East Boundary,Road,BENTLEIGH EAST,3165,Skating,outdoor,NA,GLEN EIRA
GLENEI11217,-37.916884,145.061671,Bailey Reserve,200,East Boundary,Road,BENTLEIGH EAST,3165,Softball,outdoor,Grass,GLEN EIRA
GLENEI11216,-37.926021,145.068459,Centenary Park,179-185,Brady,Road,BENTLEIGH EAST,3165,Cricket,outdoor,Synthetic Pitch,GLEN EIRA
GLENEI11216,-37.926021,145.068459,Centenary Park,179-185,Brady,Road,BENTLEIGH EAST,3165,Cricket,outdoor,Turf Pitch,GLEN EIRA
GLENEI11216,-37.926021,145.068459,Centenary Park,179-185,Brady,Road,BENTLEIGH EAST,3165,Football,outdoor,Grass,GLEN EIRA
GLENEI11216,-37.926021,145.068459,Centenary Park,179-185,Brady,Road,BENTLEIGH EAST,3165,Tennis,outdoor,Hard Court,GLEN EIRA
GLENEI11218,-37.916884,145.061671,Glen Eira Sports and Aquatic Centre,186,East Boundary,Road,BENTLEIGH EAST,3165,Badminton,indoor,Wooden Flooring,GLEN EIRA
GLENEI11218,-37.916884,145.061671,Glen Eira Sports and Aquatic Centre,186,East Boundary,Road,BENTLEIGH EAST,3165,Basketball,indoor,Wooden Gymnasium,GLEN EIRA
GLENEI11218,-37.916884,145.061671,Glen Eira Sports and Aquatic Centre,186,East Boundary,Road,BENTLEIGH EAST,3165,Fitness / Gymnasium Workouts,indoor,NA,GLEN EIRA
GLENEI11218,-37.916884,145.061671,Glen Eira Sports and Aquatic Centre,186,East Boundary,Road,BENTLEIGH EAST,3165,Futsal,indoor,Wooden Gymnasium,GLEN EIRA
GLENEI11218,-37.916884,145.061671,Glen Eira Sports and Aquatic Centre,186,East Boundary,Road,BENTLEIGH EAST,3165,Netball,indoor,Wooden Gymnasium,GLEN EIRA
GLENEI11218,-37.916884,145.061671,Glen Eira Sports and Aquatic Centre,186,East Boundary,Road,BENTLEIGH EAST,3165,Swimming,indoor,NA,GLEN EIRA
GLENEI11219,-37.929295,145.059689,King George VI Memorial Park,70,East Boundary,Road,BENTLEIGH EAST,3165,Cricket,outdoor,Synthetic Pitch,GLEN EIRA
GLENEI11219,-37.929295,145.059689,King George VI Memorial Park,70,East Boundary,Road,BENTLEIGH EAST,3165,Football,outdoor,Grass,GLEN EIRA
GLENEI11219,-37.929295,145.059689,King George VI Memorial Park,70,East Boundary,Road,BENTLEIGH EAST,3165,Tennis,outdoor,Clay,GLEN EIRA
GLENEI11221,-37.917615,145.076431,Mackie Road Reserve,58-60,Mackie,Road,BENTLEIGH EAST,3165,Cricket,outdoor,Synthetic Pitch,GLEN EIRA
GLENEI11221,-37.917615,145.076431,Mackie Road Reserve,58-60,Mackie,Road,BENTLEIGH EAST,3165,Football,outdoor,Grass,GLEN EIRA
GLENEI11221,-37.917615,145.076431,Mackie Road Reserve,58-60,Mackie,Road,BENTLEIGH EAST,3165,Tennis,outdoor,Clay,GLEN EIRA
GLENEI11215,-37.911967,145.067782,Marlborough Street Reserve,77,Marlborough,Street,BENTLEIGH EAST,3165,Soccer,outdoor,Grass,GLEN EIRA
GLENEI11214,-37.934102,145.072359,Moorleigh Community Village,92,Bignell,Road,BENTLEIGH EAST,3165,Cricket,outdoor,Synthetic Pitch,GLEN EIRA
GLENEI11214,-37.934102,145.072359,Moorleigh Community Village,92,Bignell,Road,BENTLEIGH EAST,3165,Cricket,outdoor,Turf Pitch,GLEN EIRA
GLENEI11214,-37.934102,145.072359,Moorleigh Community Village,92,Bignell,Road,BENTLEIGH EAST,3165,Football,outdoor,Grass,GLEN EIRA
GLENEI11214,-37.934102,145.072359,Moorleigh Community Village,92,Bignell,Road,BENTLEIGH EAST,3165,Tennis,outdoor,Hard Court,GLEN EIRA
GLENEI11222,-37.931326,145.075503,Yarra Yarra Golf Club,567,Warrigal,Road,BENTLEIGH EAST,3165,Golf,outdoor,NA,GLEN EIRA
MONASH11999,-37.901764,145.092321,Challenge Fitness Centre,6,Burlington,Street,OAKLEIGH,3166,Martial Arts,indoor,NA,MONASH
MONASH12005,-37.92001,145.103307,Davies Reserve,NA,Talbot,Avenue,OAKLEIGH,3166,Athletics,outdoor,Synthetic Running Track,MONASH
MONASH12028,-37.906336,145.098662,Jack Edwards Reserve,NA,Parkside,Avenue,OAKLEIGH,3166,Soccer,outdoor,Grass,MONASH
MONASH12036,-37.912047,145.138854,Marshall Reserve,NA,Ring East,Road,HUNTINGDALE,3166,Baseball,outdoor,Grass,MONASH
MONASH12036,-37.912047,145.138854,Marshall Reserve,NA,Ring East,Road,HUNTINGDALE,3166,Cricket,outdoor,Turf Pitch,MONASH
MONASH12036,-37.912047,145.138854,Marshall Reserve,NA,Ring East,Road,HUNTINGDALE,3166,Football,outdoor,Grass,MONASH
MONASH12036,-37.912047,145.138854,Marshall Reserve,NA,Ring East,Road,HUNTINGDALE,3166,Soccer,outdoor,Grass,MONASH
MONASH12037,-37.887179,145.115781,Mayfield Park,NA,Mayfield,Drive,OAKLEIGH,3166,Cricket,outdoor,Synthetic Pitch,MONASH
MONASH12037,-37.887179,145.115781,Mayfield Park,NA,Mayfield,Drive,OAKLEIGH,3166,Football,outdoor,Grass,MONASH
MONASH12037,-37.887179,145.115781,Mayfield Park,NA,Mayfield,Drive,OAKLEIGH,3166,Tennis,outdoor,Hard Court,MONASH
MONASH12046,-37.890974,145.098519,Oakleigh Golf Course,NA,Park,Road,OAKLEIGH,3166,Golf,outdoor,9 Hole Course - Public,MONASH
MONASH11293,-37.9085,145.1,Oakleigh Indoor Sports,4,Railway,Avenue,OAKLEIGH,3166,Cricket,indoor,NA,MONASH
MONASH11293,-37.9085,145.1,Oakleigh Indoor Sports,4,Railway,Avenue,OAKLEIGH,3166,Futsal,indoor,NA,MONASH
MONASH11293,-37.9085,145.1,Oakleigh Indoor Sports,4,Railway,Avenue,OAKLEIGH,3166,Netball,indoor,NA,MONASH
MONASH11293,-37.9085,145.1,Oakleigh Indoor Sports,4,Railway,Avenue,OAKLEIGH,3166,Volleyball,outdoor,NA,MONASH
MONASH12050,-37.893318,145.097143,Oakleigh Recreation Centre,NA,Park,Road,OAKLEIGH,3166,Badminton,indoor,Wooden Gymnasium,MONASH
MONASH12050,-37.893318,145.097143,Oakleigh Recreation Centre,NA,Park,Road,OAKLEIGH,3166,Basketball,indoor,Wooden Gymnasium,MONASH
MONASH12050,-37.893318,145.097143,Oakleigh Recreation Centre,NA,Park,Road,OAKLEIGH,3166,Futsal,indoor,Wooden Gymnasium,MONASH
MONASH12050,-37.893318,145.097143,Oakleigh Recreation Centre,NA,Park,Road,OAKLEIGH,3166,Netball,indoor,Wooden Gymnasium,MONASH
MONASH12050,-37.893318,145.097143,Oakleigh Recreation Centre,NA,Park,Road,OAKLEIGH,3166,Swimming,outdoor,"50m Pool - Outdoor, Diving Pool, Rehabilitation Pool, Toddlers Pool",MONASH
MONASH12050,-37.893318,145.097143,Oakleigh Recreation Centre,NA,Park,Road,OAKLEIGH,3166,Tennis,outdoor,Hard Court,MONASH
MONASH12050,-37.893318,145.097143,Oakleigh Recreation Centre,NA,Park,Road,OAKLEIGH,3166,Volleyball,indoor,Wooden Gymnasium,MONASH
MONASH12047,-37.899008,145.084354,Oakleigh Tennis Courts,NA,Carisle,Cresent,OAKLEIGH,3166,Tennis,outdoor,Hard Court,MONASH
MONASH12056,-37.909012,145.116778,Princess Hwy Reserve,NA,Dandenong,Road,OAKLEIGH,3166,Cricket,outdoor,Synthetic Pitch,MONASH
MONASH12056,-37.909012,145.116778,Princess Hwy Reserve,NA,Dandenong,Road,OAKLEIGH,3166,Football,outdoor,Grass,MONASH
MONASH12057,-37.905964,145.075562,Recreation Reserve,NA,Kinrade,Street,OAKLEIGH,3166,Soccer,outdoor,Grass,MONASH
MONASH12059,-37.911491,145.092806,Scammell Reserve,NA,Guest,Road,OAKLEIGH,3166,Cricket,outdoor,Turf Pitch,MONASH
MONASH12059,-37.911491,145.092806,Scammell Reserve,NA,Guest,Road,OAKLEIGH,3166,Football,outdoor,Grass,MONASH
MONASH12059,-37.911491,145.092806,Scammell Reserve,NA,Guest,Road,OAKLEIGH,3166,Lawn Bowls,outdoor,Grass,MONASH
MONASH12060,-37.893724,145.102808,Scotchmans Run Reserve,NA,Estelle,Street,OAKLEIGH,3166,Baseball,outdoor,Grass,MONASH
MONASH12060,-37.893724,145.102808,Scotchmans Run Reserve,NA,Estelle,Street,OAKLEIGH,3166,Cricket,outdoor,Synthetic Pitch,MONASH
MONASH12062,-37.923125,145.086473,Stan Riley Reserve,NA,Cameron,Avenue,OAKLEIGH,3166,BMX,outdoor,Dirt,MONASH
MONASH12066,-37.896282,145.088782,Warrawee Park,NA,Drummond,Street,OAKLEIGH,3166,Cricket,outdoor,Turf Pitch,MONASH
MONASH12066,-37.896282,145.088782,Warrawee Park,NA,Drummond,Street,OAKLEIGH,3166,Football,outdoor,Grass,MONASH
MONASH11997,-37.90462,145.124999,Carlson Reserve,NA,Clayton,Road,CLAYTON,3168,Cricket,outdoor,Synthetic Pitch,MONASH
MONASH11997,-37.90462,145.124999,Carlson Reserve,NA,Clayton,Road,CLAYTON,3168,Soccer,outdoor,Grass,MONASH
MONASH11997,-37.90462,145.124999,Carlson Reserve,NA,Clayton,Road,CLAYTON,3168,Tennis,outdoor,Artificial Turf,MONASH
MONASH12000,-37.927146,145.118107,Clayton Aquatics and Health Club,NA,Cooke,Street,CLAYTON,3168,Fitness / Gymnasium Workouts,indoor,NA,MONASH
MONASH12000,-37.927146,145.118107,Clayton Aquatics and Health Club,NA,Cooke,Street,CLAYTON,3168,Swimming,indoor,"25m Pool - Indoor, Recreation / Play Water Space",MONASH
KINGST10936,-37.934468,145.081248,Dales Park,NA,Washington,Road,CLAYTON,3168,Netball,outdoor,Asphalt,KINGSTON
MONASH12018,-37.917409,145.126479,Fregon Reserve,NA,Browns,Road,CLAYTON,3168,Cricket,outdoor,Synthetic Pitch,MONASH
MONASH12018,-37.917409,145.126479,Fregon Reserve,NA,Browns,Road,CLAYTON,3168,Rugby League,outdoor,Grass,MONASH
MONASH12001,-37.922689,145.1162,Meade Reserve,NA,Haughton,Road,CLAYTON,3168,Cricket,outdoor,Turf Pitch,MONASH
MONASH12001,-37.922689,145.1162,Meade Reserve,NA,Haughton,Road,CLAYTON,3168,Football,outdoor,Grass,MONASH
MONASH11289,-37.910013,145.143624,Melbourne Sports Stadium,13,Duerdin,Street,NOTTING HILL,3168,Cricket,indoor,NA,MONASH
MONASH11289,-37.910013,145.143624,Melbourne Sports Stadium,13,Duerdin,Street,NOTTING HILL,3168,Futsal,indoor,NA,MONASH
MONASH12040,-37.912047,145.138854,Monash Uni Doug Ellis Swimming Pool,NA,Wellington,Road,CLAYTON,3168,Fitness / Gymnasium Workouts,indoor,NA,MONASH
MONASH12040,-37.912047,145.138854,Monash Uni Doug Ellis Swimming Pool,NA,Wellington,Road,CLAYTON,3168,Squash / Racquetball,indoor,NA,MONASH
MONASH12040,-37.912047,145.138854,Monash Uni Doug Ellis Swimming Pool,NA,Wellington,Road,CLAYTON,3168,Swimming,indoor,25m Pool - Indoor,MONASH
MONASH11291,-37.908959,145.137801,Monash University - Clayton,NA,Wellington,Road,CLAYTON,3168,Hockey,outdoor,Artificial Turf,MONASH
MONASH11459,-37.914398,145.127103,Monash University Trampolining,NA,Wellington,Road,CLAYTON,3168,Gymnastics,indoor,NA,MONASH
MONASH11504,-37.900453,145.135147,Notting Hill Community Youth Club,386,Ferntree Gully,Road,NOTTING HILL,3168,Gymnastics,indoor,NA,MONASH
KINGST10931,-37.928776,145.101673,Clarinda Tennis Club,NA,Crawford,Road,CLARINDA,3169,Tennis,outdoor,Hard Court,KINGSTON
