"""id""",lat,lon,"""name""",street_no,"""street_name""","""street_type""","""suburb""",postcode,"""sport""","""type""","""lga""","""address"""
"""PORTPH12163""",-37.889417,144.986586,"""Elwood Reserve""",,"""Beach""","""Road Drive""","""ELWOOD""","""3184""","""Tennis""","""outdoor""","""PORT PHILLIP""","""Beach Road Drive, ELWOOD 3184"""
"""BAYSID12352""",-37.884783,144.99379,"""Easternwick Park Recreation Oval""",,"""Glenhuntly""","""Road""","""ELSTERNWICK""","""3185""","""Cricket""","""outdoor""","""BAYSIDE""","""Glenhuntly Road, ELSTERNWICK 3185"""
"""BAYSID12352""",-37.884783,144.99379,"""Easternwick Park Recreation Oval""",,"""Glenhuntly""","""Road""","""ELSTERNWICK""","""3185""","""Football""","""outdoor""","""BAYSIDE""","""Glenhuntly Road, ELSTERNWICK 3185"""
"""BAYSID12352""",-37.884783,144.99379,"""Easternwick Park Recreation Oval""",,"""Glenhuntly""","""Road""","""ELSTERNWICK""","""3185""","""Lawn Bowls""","""outdoor""","""BAYSIDE""","""Glenhuntly Road, ELSTERNWICK 3185"""
"""BAYSID12352""",-37.884783,144.99379,"""Easternwick Park Recreation Oval""",,"""Glenhuntly""","""Road""","""ELSTERNWICK""","""3185""","""Tennis""","""outdoor""","""BAYSIDE""","""Glenhuntly Road, ELSTERNWICK 3185"""
"""BAYSID12359""",-37.890266,144.99364,"""Elsternwick Park""",,"""Head""","""Street""","""ELSTERNWICK""","""3185""","""Cricket""","""outdoor""","""BAYSIDE""","""Head Street, ELSTERNWICK 3185"""
"""BAYSID12394""",-37.884783,144.99379,"""Elsternwick Public Golf Course""",,"""Glenhuntly""","""Road""","""ELSTERNWICK""","""3185""","""Golf""","""outdoor""","""BAYSIDE""","""Glenhuntly Road, ELSTERNWICK 3185"""
"""BAYSID12330""",-37.928371,144.990557,"""Brighton Beach Oval""",,"""Beach""","""Road""","""BRIGHTON""","""3186""","""Cricket""","""outdoor""","""BAYSIDE""","""Beach Road, BRIGHTON 3186"""
"""BAYSID5409""",-37.9285,144.9911,"""Brighton Beach Oval""",,"""South""","""Road""","""BRIGHTON""","""3186""","""Cricket""","""outdoor""","""BAYSIDE""","""South Road, BRIGHTON 3186"""
"""BAYSID5409""",-37.9285,144.9911,"""Brighton Beach Oval""",,"""South""","""Road""","""BRIGHTON""","""3186""","""Football""","""outdoor""","""BAYSIDE""","""South Road, BRIGHTON 3186"""
"""BAYSID12330""",-37.928371,144.990557,"""Brighton Beach Oval""",,"""Beach""","""Road""","""BRIGHTON""","""3186""","""Football""","""outdoor""","""BAYSIDE""","""Beach Road, BRIGHTON 3186"""
"""BAYSID12330""",-37.928371,144.990557,"""Brighton Beach Oval""",,"""Beach""","""Road""","""BRIGHTON""","""3186""","""Lawn Bowls""","""outdoor""","""BAYSIDE""","""Beach Road, BRIGHTON 3186"""
"""BAYSID12330""",-37.928371,144.990557,"""Brighton Beach Oval""",,"""Beach""","""Road""","""BRIGHTON""","""3186""","""Playground""","""outdoor""","""BAYSIDE""","""Beach Road, BRIGHTON 3186"""
"""BAYSID11242""",-37.917367,144.986548,"""Brighton Life Saving Club""",,"""The""","""Esplanade""","""BRIGHTON""","""3186""","""Surf Life Saving""","""outdoor""","""BAYSIDE""","""The Esplanade, BRIGHTON 3186"""
"""BAYSID12345""",-37.925092,145.02322,"""Dendy Park""",,"""Dendy""","""Street""","""BRIGHTON EAST""","""3186""","""Athletics""","""outdoor""","""BAYSIDE""","""Dendy Street, BRIGHTON EAST 3186"""
"""BAYSID12345""",-37.925092,145.02322,"""Dendy Park""",,"""Dendy""","""Street""","""BRIGHTON EAST""","""3186""","""Cricket""","""outdoor""","""BAYSIDE""","""Dendy Street, BRIGHTON EAST 3186"""
"""BAYSID12345""",-37.925092,145.02322,"""Dendy Park""",,"""Dendy""","""Street""","""BRIGHTON EAST""","""3186""","""Lawn Bowls""","""outdoor""","""BAYSIDE""","""Dendy Street, BRIGHTON EAST 3186"""
"""BAYSID12345""",-37.925092,145.02322,"""Dendy Park""",,"""Dendy""","""Street""","""BRIGHTON EAST""","""3186""","""Soccer""","""outdoor""","""BAYSIDE""","""Dendy Street, BRIGHTON EAST 3186"""
"""BAYSID12345""",-37.925092,145.02322,"""Dendy Park""",,"""Dendy""","""Street""","""BRIGHTON EAST""","""3186""","""Tennis""","""outdoor""","""BAYSIDE""","""Dendy Street, BRIGHTON EAST 3186"""
"""BAYSID12375""",-37.910418,145.013991,"""Hurlingham Park""",,"""Palmer""","""Avenue""","""BRIGHTON""","""3186""","""Cricket""","""outdoor""","""BAYSIDE""","""Palmer Avenue, BRIGHTON 3186"""
"""BAYSID12363""",-37.93424,145.02106,"""R J Sillitoe Reserve""",,"""Lawson""","""Street""","""BRIGHTON""","""3186""","""Cricket""","""outdoor""","""BAYSIDE""","""Lawson Street, BRIGHTON 3186"""
"""BAYSID12363""",-37.93424,145.02106,"""R J Sillitoe Reserve""",,"""Lawson""","""Street""","""BRIGHTON""","""3186""","""Soccer""","""outdoor""","""BAYSIDE""","""Lawson Street, BRIGHTON 3186"""
"""BAYSID12325""",-37.922026,145.00018,"""Whyte Street Reserve""",,"""Armfield""","""Street""","""BRIGHTON""","""3186""","""Cricket""","""outdoor""","""BAYSIDE""","""Armfield Street, BRIGHTON 3186"""
"""BAYSID12392""",-37.913196,145.004682,"""William Street Reserve""",,"""William""","""Street""","""BRIGHTON""","""3186""","""Cricket""","""outdoor""","""BAYSIDE""","""William Street, BRIGHTON 3186"""
